k,allowed_layout,Set,Suit,Number,Faction,name,card,type,Cost,Health,Power,Size,Deploy,Trigger,Effect,Attribution,Designer,Source
1,default;changed,S1A,H,Q,republic of mars,sp.sq.03/as.spl.flx,Support Unit,Squad,0,4,2,2,,You scouted,Target unit gets +3@[p] until end of turn.,Microsoft Copilot,Print to Play,
1,default,S1A,D,A,atlantean guard,kygla hallax,Officer,,0,3,,,Discard a structure card: Remove 1 damage from target permanent.,,You may deploy @[faction] cards.,Microsoft Copilot,Print to Play,
1,default,S1A,D,2,atlantean guard,hydroelectric persuation,Attachment,,1,,,,"Attach to a unit.\nWhen this enters the battlefield, discard a card.\nYou control this unit.",,,Microsoft Copilot,Print to Play,
1,default,S1A,D,3,atlantean guard,hydroelectric persuation,Attachment,,1,,,,"Attach to a unit.\nWhen this enters the battlefield, discard a card.\nYou control this unit.",,,Microsoft Copilot,Print to Play,
1,default,S1A,D,4,atlantean guard,hydroelectric persuation,Attachment,,1,,,,"Attach to a unit.\nWhen this enters the battlefield, discard a card.\nYou control this unit.",,,Microsoft Copilot,Print to Play,
1,default,S1A,D,5,republic of mars,art.01/spt.vlly,Unit,Artillery,0,5,1,7,"Squads you control have ""Combat Action - Tap an untapped artillery you control. If you do, it deals 6 damage to target unit.""",,,Microsoft Copilot,Print to Play,
1,default,S1A,D,6,republic of mars,art.02/spt.vlly,Unit,Artillery,0,5,1,7,"Squads you control have ""Combat Action - Tap an untapped artillery you control. If you do, it deals 6 damage to target unit.""",,,Microsoft Copilot,Print to Play,
1,default,S1A,D,7,republic of mars,art.03/spt.vlly,Unit,Artillery,0,5,1,7,"Squads you control have ""Combat Action - Tap an untapped artillery you control. If you do, it deals 6 damage to target unit.""",,,Microsoft Copilot,Print to Play,
1,default;changed,S1A,D,8,atlantean guard,Brigia port,Structure,,2,4,,,"At end of turn, you may return a structure card from your discard pile to your hand.",,,Microsoft Copilot,Print to Play,
1,default;changed,S1A,D,9,atlantean guard,Brigia port,Structure,,2,4,,,"At end of turn, you may return a structure card from your discard pile to your hand.",,,Microsoft Copilot,Print to Play,
1,default;changed,S1A,D,10,atlantean guard,Brigia port,Structure,,2,4,,,"At end of turn, you may return a structure card from your discard pile to your hand.",,,Microsoft Copilot,Print to Play,
1,default;changed,S1A,D,J,atlantean guard,Stingray Squad,Ambush Unit,Mech Squad,0,5,3,3,,An opponent controls an asset,"Sabotage target asset, then discard a card. <i>(An asset is a card or ability while it is on the stack.)</i>",Microsoft Copilot,Print to Play,
1,default;changed,S1A,D,K,atlantean guard,Stingray Squad,Ambush Unit,Mech Squad,0,5,3,3,,An opponent controls an asset,"Sabotage target asset, then discard a card. <i>(An asset is a card or ability while it is on the stack.)</i>",Microsoft Copilot,Print to Play,
1,default;changed,S1A,D,Q,atlantean guard,Stingray Squad,Ambush Unit,Mech Squad,0,5,3,3,,An opponent controls an asset,"Sabotage target asset, then discard a card. <i>(An asset is a card or ability while it is on the stack.)</i>",Microsoft Copilot,Print to Play,
1,default,S1A,S,A,atlantean guard,loqysh krobsul,Officer,,0,3,,,Discard a structure card: Remove 1 damage from target permanent.,,You may deploy @[faction] cards.,Microsoft Copilot,Print to Play,
1,default;changed,S1A,S,2,atlantean guard,Stealth Stone,Structure,,0,2,,,"Units you control have Jammers 1. <i>(Whenever that unit is targeted by an asset, sabotage it unless it's controller discards a card.)</i>",,,Microsoft Copilot,Print to Play,
1,default;changed,S1A,S,3,atlantean guard,Stealth Stone,Structure,,0,2,,,"Units you control have Jammers 1. <i>(Whenever that unit is targeted by an asset, sabotage it unless it's controller discards a card.)</i>",,,Microsoft Copilot,Print to Play,
1,default;changed,S1A,S,4,atlantean guard,Stealth Stone,Structure,,0,2,,,"Units you control have Jammers 1. <i>(Whenever that unit is targeted by an asset, sabotage it unless it's controller discards a card.)</i>",,,Microsoft Copilot,Print to Play,
1,default,S1A,S,5,republic of mars,tac.04/btl.mnv,Tactic,,0,,,,Choose two. You may choose an option more than once:\n - Tap target unit.\n - Untap target unit.\n - Draw a card.,,,Microsoft Copilot,Print to Play,
1,default,S1A,S,6,republic of mars,tac.05/btl.mnv,Tactic,,0,,,,Choose two. You may choose an option more than once:\n - Tap target unit.\n - Untap target unit.\n - Draw a card.,,,Microsoft Copilot,Print to Play,
1,default,S1A,S,7,republic of mars,tac.06/btl.mnv,Tactic,,0,,,,Choose two. You may choose an option more than once:\n - Tap target unit.\n - Untap target unit.\n - Draw a card.,,,Microsoft Copilot,Print to Play,
1,default,S1A,S,8,atlantean guard,Osicadis Port,Structure,,1,3,,,"Whenever a structure card is put into your discard pile from anywhere, you may remove a damage counter from target permanent.",,,Microsoft Copilot,Print to Play,
1,default,S1A,S,9,atlantean guard,Osicadis Port,Structure,,1,3,,,"Whenever a structure card is put into your discard pile from anywhere, you may remove a damage counter from target permanent.",,,Microsoft Copilot,Print to Play,
1,default,S1A,S,10,atlantean guard,Osicadis Port,Structure,,1,3,,,"Whenever a structure card is put into your discard pile from anywhere, you may remove a damage counter from target permanent.",,,Microsoft Copilot,Print to Play,
1,default;changed,S1A,S,J,atlantean guard,Disrupt Communications,Ambush Tactic,,0,,,,Draw a card.,An opponent controls an asset,"Sabotage target asset, then discard a card. <i>(An asset is a card or ability while it is on the stack.)</i>",Microsoft Copilot,Print to Play,
1,default;changed,S1A,S,K,atlantean guard,Disrupt Communications,Ambush Tactic,,0,,,,Draw a card.,An opponent controls an asset,"Sabotage target asset, then discard a card. <i>(An asset is a card or ability while it is on the stack.)</i>",Microsoft Copilot,Print to Play,
1,default;changed,S1A,S,Q,atlantean guard,Disrupt Communications,Ambush Tactic,,0,,,,Draw a card.,An opponent controls an asset,"Sabotage target asset, then discard a card. <i>(An asset is a card or ability while it is on the stack.)</i>",Microsoft Copilot,Print to Play,
1,default;changed,S1A,JKF1,ATLANTEAN GUARD,atlantean guard,,Declared Faction,,0,,,,,,,,,
1,default;changed,S1A,JKF2,REPUBLIC OF MARS,republic of mars,,Declared Faction,,0,,,,,,,,,
